fund_code,selected_count,correct_count,wrong_count,avg_forward_return,avg_excess_vs_5050,win_rate_vs_5050,correct_rate,mean_net_exposure,exposure_vol,mean_abs_net_exposure,exposure_p10,exposure_p90,exposure_range_p90_p10,is_stable_selected,is_stable_outperform,is_stable,is_dynamic_style
1448,13,6,7,-0.012903110990992258,-0.008102846095296408,0.46153846153846156,0.46153846153846156,0.3253080881032988,0.4446789603644711,0.49823060820725534,-0.28675022762280233,0.8564619645819084,1.1432121922047107,False,False,False,False
5084,13,6,7,0.0035837228432441613,-0.014677872632111835,0.38461538461538464,0.46153846153846156,0.43745254483148704,0.49457105622284253,0.5716460555913444,-0.22505873972702195,0.9497552272939289,1.1748139670209508,False,False,False,False
5085,13,6,7,0.003022757598630201,-0.015238837876725796,0.38461538461538464,0.46153846153846156,0.43435399869770563,0.49149915216275636,0.5675083212098645,-0.22441151299838377,0.948831527127373,1.1732430401257568,False,False,False,False
4302,14,6,8,0.0039707617828707575,-0.0032993737626459013,0.5,0.42857142857142855,0.1951259856680337,0.02136105602251524,0.19512598566803374,0.15809730685638684,0.21724837576299888,0.05915106890661204,False,False,False,False
711,16,6,10,0.0077389376668931115,0.010987489960726723,0.5625,0.375,0.9343502796807226,0.09474890107584093,0.9343502796807225,0.7977065519730023,1.0,0.20229344802699767,False,False,False,False
6973,16,6,10,0.009232127044248715,0.0033971228315239216,0.5625,0.375,0.11376416089210561,0.12818126367796032,0.11376416089210561,0.01180647523778078,0.32886836408891945,0.3170618888511387,False,False,False,False
4212,21,6,15,0.011221250154641963,0.004669052389421787,0.6190476190476191,0.2857142857142857,0.19899685822439284,0.26120017544527907,0.22274357377016196,-0.07892227394135397,0.5925320890164828,0.6714543629578368,False,False,False,False
4783,21,6,15,0.014644730681498191,0.003897951855408141,0.5714285714285714,0.2857142857142857,0.20951551535360502,0.2663495695589625,0.23319580417596392,-0.05188253332794862,0.601361949715951,0.6532444830438997,False,False,False,False
6195,22,6,16,0.02051528344630367,0.008017775820819494,0.5454545454545454,0.2727272727272727,0.09976228662879852,0.3797581518731148,0.2970384518188584,-0.33956180245231066,0.635552981905174,0.9751147843574846,False,False,False,False
628,26,6,20,0.011003236262981629,0.001201585092533947,0.5,0.23076923076923078,0.30070899865949363,0.4660605037569863,0.4379027884525558,-0.30039984272881576,1.0,1.3003998427288157,True,False,True,False
5090,5,5,0,0.058355081248470574,0.06717481750642784,0.8,1.0,0.8996830972431822,0.10223456828151964,0.8996830972431822,0.7772654064090154,1.0,0.22273459359098458,False,False,False,False
5091,5,5,0,0.0577133071423789,0.06653304340033617,0.8,1.0,0.8989605182709587,0.10282113867915302,0.8989605182709587,0.7759963509368253,1.0,0.22400364906317471,False,False,False,False
5894,6,5,1,0.021730172326886454,0.03360869776254973,0.8333333333333334,0.8333333333333334,0.9999999999999999,9.930136612989092e-17,1.0,0.9999999999999998,1.0,2.220446049250313e-16,False,False,False,False
2005,6,5,1,0.0010856845017699162,0.024444238539100976,0.6666666666666666,0.8333333333333334,-0.00959322837347365,0.04349382536645023,0.03617091421603247,-0.05878767592573891,0.031981790885978786,0.09076946681171769,False,False,False,False
1584,6,5,1,-0.0040561096976720985,0.011600248218998077,0.6666666666666666,0.8333333333333334,-0.20461002536138337,0.02592738541845535,0.2046100253613833,-0.22989398878466724,-0.18085659358495437,0.04903739519971287,False,False,False,False
1585,6,5,1,-0.0041431849565151295,0.011513172960155046,0.6666666666666666,0.8333333333333334,-0.20456073972239577,0.026339072015567,0.20456073972239577,-0.23021167866004244,-0.18050273177495985,0.049708946885082594,False,False,False,False
5164,7,5,2,0.010121575902119024,0.009872707435285408,0.42857142857142855,0.7142857142857143,0.563734295316128,0.24023562492219355,0.5637342953161281,0.25850705945931896,0.8980870062607018,0.6395799468013829,False,False,False,False
6398,7,5,2,-0.0031764658172666682,-0.005096942571839553,0.5714285714285714,0.7142857142857143,0.07730188476436314,0.08576343247376905,0.09407782666838277,-0.033104518102338436,0.1427721353807299,0.17587665348306833,False,False,False,False
6399,7,5,2,-0.0035030017702058097,-0.005423478524778694,0.5714285714285714,0.7142857142857143,0.07772670586860325,0.08592949049587832,0.09434960360800675,-0.0330035773396194,0.14333569814819763,0.17633927548781703,False,False,False,False
2419,8,5,3,0.02344540570110186,0.027880842892866964,0.875,0.625,0.0893364746872813,0.5290228097613044,0.383528472293126,-0.2161334249974108,0.9447234144254661,1.1608568394228769,False,False,False,False
5165,8,5,3,0.008494299997807833,0.009143362026162949,0.5,0.625,0.5637589508002101,0.24025257750503265,0.5637589508002101,0.25852702058380844,0.8980919753771113,0.6395649547933029,False,False,False,False
436,8,5,3,0.004614905365094624,0.005753898681031308,0.5,0.625,0.13822730929512586,0.09375503018317834,0.14217439331285622,-0.009212303680290966,0.24023529098817833,0.2494475946684693,False,False,False,False
6005,8,5,3,0.0022845878922609086,-0.002288461205219819,0.625,0.625,0.2615240487037044,0.20488344058384733,0.2678264289154235,0.0821074269918353,0.5673758119656166,0.4852683849737813,False,False,False,False
